sl no,brand,country,state,city,top speed kmh,battery capacity kWh,battery type,efficiency wh per km,range km,fast charging power kw dc,fast charge port,seats,drivetrain,electric vehicle type,safety rating,cost
3223,Tesla,USA,NY,New York,270,56.4,Solid-State,190.9,407,218,Type 2,4,RWD,HEV,4.4,142988
3224,Volkswagen,South Korea,Busan,Busan,217,85.8,Li-ion,142.1,504,291,CCS,5,RWD,PHEV,2.8,185090
3225,Kia,USA,CA,Los Angeles,285,162.9,Solid-State,203.7,641,225,CHAdeMO,7,FWD,PHEV,3.2,129542
3226,Nissan,France,Auvergne-Rhône-Alpes,Lyon,292,170.2,Li-ion,151.1,512,349,CHAdeMO,7,RWD,PHEV,3,122338
3227,Hyundai,UK,England,Birmingham,166,146.6,NiMH,153.6,234,219,Tesla Supercharger,5,RWD,HEV,4.6,161527
3228,BMW,India,Delhi,Delhi,263,153.9,Solid-State,164.7,368,278,CCS,5,FWD,PHEV,4.7,89234
3229,BMW,Canada,British Columbia,Vancouver,210,160.8,NiMH,151,472,165,CCS,4,AWD,HEV,2.7,111670
3230,Hyundai,UK,England,Manchester,191,40.3,NiMH,210.7,465,324,CCS,5,AWD,HEV,3.2,164897
3231,Kia,Australia,Queensland,Brisbane,282,135.7,NiMH,194.1,610,152,Tesla Supercharger,4,RWD,PHEV,4.4,83579
3232,Volkswagen,Germany,Bavaria,Munich,260,107.5,Solid-State,200.4,749,93,Tesla Supercharger,6,FWD,BEV,4.2,97738
3233,BMW,Japan,Osaka,Osaka,180,156.1,NiMH,174.6,264,199,CCS,4,FWD,PHEV,3.3,183656
3234,Hyundai,Germany,Bavaria,Munich,199,156.9,NiMH,165.7,758,317,Type 2,6,RWD,HEV,2.4,110897
3235,Hyundai,South Korea,Incheon,Incheon,152,73.8,Solid-State,188.7,765,266,Type 2,2,AWD,PHEV,4.5,82058
3236,Lucid,UK,England,Birmingham,211,108.2,Li-ion,160.1,749,239,CHAdeMO,4,RWD,HEV,2.2,73393
3237,Ford,Australia,New South Wales,Sydney,137,67.9,Solid-State,151.5,549,187,CHAdeMO,5,RWD,PHEV,4.6,137881
3238,BMW,China,Beijing,Beijing,262,49.3,NiMH,160,655,97,CCS,6,FWD,PHEV,4,197813
3239,BMW,Australia,New South Wales,Sydney,173,46.5,Solid-State,211.2,504,210,CHAdeMO,7,FWD,PHEV,2.5,112256
3240,Nissan,USA,CA,Los Angeles,182,71.3,NiMH,197.3,379,95,CCS,2,FWD,HEV,3.2,112926
3241,Ford,Australia,New South Wales,Sydney,268,130.1,NiMH,162.2,784,279,Type 2,2,FWD,BEV,3.1,139842
3242,Kia,China,Shanghai,Shanghai,170,61.7,Li-ion,210.9,421,218,Tesla Supercharger,5,RWD,PHEV,3.8,137582
3243,Kia,India,Tamil Nadu,Chennai,230,70,NiMH,206.7,507,209,Tesla Supercharger,7,AWD,HEV,3.2,195125
3244,BYD,India,Maharashtra,Mumbai,234,159.4,NiMH,142.6,227,243,CCS,5,FWD,BEV,3.8,183217
3245,BMW,China,Beijing,Beijing,277,171,Solid-State,170.2,417,224,CCS,6,AWD,BEV,2.2,145894
3246,Hyundai,India,Tamil Nadu,Chennai,150,46,Li-ion,149.4,354,308,CHAdeMO,7,AWD,PHEV,4.7,172367
3247,Nissan,France,Provence-Alpes-Côte d'Azur,Marseille,196,113.3,Solid-State,137.1,772,81,Type 2,7,FWD,PHEV,4.2,182056
3248,Nissan,USA,NY,New York,294,197.1,Solid-State,208.3,733,58,CCS,4,FWD,BEV,3.2,190024
3249,Ford,France,Auvergne-Rhône-Alpes,Lyon,170,61.6,NiMH,209.4,322,226,Tesla Supercharger,7,RWD,BEV,3.7,169428
3250,BMW,South Korea,Incheon,Incheon,272,94.4,NiMH,201.9,248,84,CHAdeMO,6,RWD,HEV,3.2,195077
3251,Tesla,Australia,New South Wales,Sydney,214,196.3,Solid-State,178.8,408,253,CCS,7,FWD,HEV,2,169132
3252,Tata,Germany,Bavaria,Munich,226,33.1,Solid-State,156.3,506,236,CHAdeMO,5,AWD,BEV,2.2,181444
3253,Tesla,Australia,Victoria,Melbourne,149,93.2,Solid-State,148.1,229,233,CHAdeMO,4,RWD,PHEV,4,143477
3254,Kia,Canada,Quebec,Montreal,285,194.3,NiMH,131.6,507,303,CCS,5,RWD,HEV,3,116697
3255,BYD,Germany,Hesse,Frankfurt,265,154.5,Li-ion,194.6,232,220,Type 2,5,FWD,BEV,3.1,144292
3256,Tesla,Germany,Hesse,Frankfurt,180,117.2,NiMH,136.6,605,254,Type 2,6,AWD,HEV,5,90338
3257,Nissan,Germany,Hesse,Frankfurt,293,115.7,Solid-State,177.8,243,183,CHAdeMO,7,RWD,BEV,2.1,173927
3258,Kia,Canada,Quebec,Montreal,270,197.8,Solid-State,199.6,752,216,Type 2,7,FWD,BEV,2.6,73107
3259,Volkswagen,India,Tamil Nadu,Chennai,172,157.8,Li-ion,134.7,765,334,Type 2,7,AWD,PHEV,2.6,78067
3260,Kia,South Korea,Busan,Busan,237,191.1,Li-ion,202.3,462,61,Tesla Supercharger,2,RWD,BEV,4.2,142555
3261,BYD,Germany,Berlin,Berlin,139,114,Li-ion,130.2,482,313,Tesla Supercharger,5,AWD,HEV,2.6,102877
3262,Tesla,Canada,Ontario,Toronto,269,78.4,Solid-State,144.9,534,177,Type 2,4,RWD,BEV,2.8,83255
3263,Lucid,China,Guangdong,Shenzhen,258,105.7,Li-ion,212,259,147,CHAdeMO,2,RWD,PHEV,2.3,175684
3264,BMW,Japan,Tokyo,Tokyo,144,180.4,Solid-State,176.4,439,130,Tesla Supercharger,2,AWD,BEV,4.8,123913
3265,BMW,Germany,Berlin,Berlin,219,169,Solid-State,219.7,777,202,CCS,2,FWD,BEV,4.1,98737
3266,BYD,USA,NY,New York,236,128.5,Solid-State,160.4,577,249,Type 2,4,FWD,HEV,3.9,199019
3267,Kia,India,Tamil Nadu,Chennai,198,46.9,Li-ion,157.7,602,136,CHAdeMO,7,FWD,HEV,3.8,77311
3268,Kia,France,Île-de-France,Paris,292,199.3,NiMH,181.4,213,225,Tesla Supercharger,2,AWD,HEV,3.9,127146
3269,BYD,Canada,Ontario,Toronto,159,86.3,Solid-State,174.3,287,63,Type 2,4,RWD,BEV,4.5,118848
3270,Nissan,Australia,New South Wales,Sydney,237,183.9,NiMH,175.8,286,241,Tesla Supercharger,5,FWD,HEV,3.1,197751
3271,Lucid,France,Île-de-France,Paris,228,73.5,NiMH,158.6,341,99,Type 2,4,FWD,BEV,2.8,138746
3272,Hyundai,South Korea,Incheon,Incheon,265,120.9,NiMH,144.6,358,88,Type 2,4,RWD,HEV,3.9,164239
3273,Tesla,UK,England,London,199,136.3,Solid-State,176.4,313,175,CCS,5,RWD,HEV,3.1,77937
3274,Hyundai,India,Delhi,Delhi,191,174.5,Li-ion,131.4,318,107,CHAdeMO,2,RWD,PHEV,2.6,106961
3275,Volkswagen,India,Tamil Nadu,Chennai,248,145.2,NiMH,132.5,580,221,CHAdeMO,4,RWD,HEV,2.4,76956
3276,Volkswagen,UK,England,Birmingham,222,135.9,NiMH,172.6,797,315,Type 2,4,RWD,PHEV,3.9,110071
3277,Tata,Germany,Berlin,Berlin,209,32.6,Solid-State,192.2,496,244,Type 2,4,AWD,BEV,2.7,123854
3278,Tesla,Canada,Ontario,Toronto,233,49.2,Li-ion,185.4,489,305,Tesla Supercharger,2,AWD,BEV,2.1,78657
3279,Tesla,China,Shanghai,Shanghai,192,54.2,NiMH,163.2,783,164,CHAdeMO,4,FWD,PHEV,2.7,84641
3280,BYD,Japan,Tokyo,Tokyo,223,155.6,NiMH,209.2,682,207,Tesla Supercharger,6,AWD,PHEV,2.3,149118
3281,Lucid,Canada,Quebec,Montreal,204,182.6,Li-ion,140.6,705,329,Type 2,4,FWD,BEV,3.5,112200
3282,BYD,France,Provence-Alpes-Côte d'Azur,Marseille,122,60.9,Solid-State,141.7,612,141,Tesla Supercharger,5,AWD,HEV,3.1,146121
3283,BMW,India,Tamil Nadu,Chennai,191,108.5,NiMH,174.7,226,315,CCS,5,AWD,BEV,4.7,177366
3284,Ford,South Korea,Incheon,Incheon,281,82.2,Li-ion,135.4,699,183,Tesla Supercharger,4,RWD,PHEV,3.8,96855
3285,BYD,Japan,Osaka,Osaka,133,78.7,NiMH,198,669,109,CCS,7,AWD,BEV,3.6,166970
3286,Volkswagen,South Korea,Incheon,Incheon,285,67.4,Solid-State,171.7,627,274,Tesla Supercharger,5,AWD,BEV,4.1,101765
3287,Kia,Germany,Hesse,Frankfurt,253,47.8,Solid-State,174.6,491,111,CHAdeMO,5,RWD,HEV,3.3,129870
3288,Lucid,USA,Seattle,Washington,135,111,Solid-State,187.8,516,241,Tesla Supercharger,4,FWD,PHEV,2.6,171741
3289,Hyundai,UK,England,London,240,59.3,Solid-State,182.9,311,143,Tesla Supercharger,6,RWD,BEV,3.1,114817
3290,BMW,China,Shanghai,Shanghai,247,109.8,NiMH,177.9,641,214,CHAdeMO,6,RWD,BEV,3.3,90244
3291,Hyundai,Canada,Quebec,Montreal,159,34,Li-ion,134.6,274,51,Type 2,5,AWD,PHEV,2.5,114624
3292,Tesla,China,Guangdong,Shenzhen,295,48.2,Solid-State,176.2,629,74,Type 2,6,FWD,PHEV,2.1,145179
3293,BMW,India,Maharashtra,Mumbai,266,88.2,NiMH,205.6,399,141,CCS,5,AWD,HEV,3,122030
3294,BMW,Australia,Victoria,Melbourne,292,152.5,Solid-State,212.4,732,179,Tesla Supercharger,5,FWD,PHEV,3.7,104653
3295,Tesla,Germany,Berlin,Berlin,128,165.1,NiMH,145.4,750,341,Type 2,6,RWD,BEV,4.8,123991
3296,Hyundai,China,Beijing,Beijing,144,172.2,Li-ion,192.7,677,211,CCS,7,RWD,BEV,4.7,123443
3297,Kia,USA,IL,Chicago,230,90.1,Li-ion,215.4,416,188,CHAdeMO,4,FWD,PHEV,2.7,173550
3298,Volkswagen,USA,Seattle,Washington,163,58.2,NiMH,172,540,309,CHAdeMO,6,RWD,HEV,4.2,74322
3299,BYD,Germany,Bavaria,Munich,296,139,NiMH,208,661,159,CCS,2,FWD,BEV,4,92560
3300,Tata,Australia,New South Wales,Sydney,255,67.8,Li-ion,143.3,676,302,Tesla Supercharger,2,RWD,BEV,3.2,101739
3301,Ford,China,Shanghai,Shanghai,260,145.8,Solid-State,179.4,619,67,Tesla Supercharger,2,AWD,BEV,3.2,167461
3302,Ford,France,Auvergne-Rhône-Alpes,Lyon,153,109.4,Li-ion,147.7,784,290,CCS,4,FWD,BEV,4.2,150302
3303,Volkswagen,USA,IL,Chicago,291,94.6,Li-ion,143.4,637,237,Tesla Supercharger,5,FWD,PHEV,2.6,130937
3304,Lucid,USA,CA,Los Angeles,289,100.5,Li-ion,159.7,410,214,Type 2,4,FWD,PHEV,3.2,105195
3305,Tesla,France,Auvergne-Rhône-Alpes,Lyon,195,121.3,Solid-State,208.5,287,349,CCS,6,RWD,BEV,4.6,158249
3306,Lucid,Japan,Osaka,Osaka,138,159.3,Li-ion,203.3,720,222,CCS,4,RWD,HEV,3.4,174400
3307,BYD,Australia,New South Wales,Sydney,272,79.5,Li-ion,198.6,333,122,Tesla Supercharger,4,AWD,HEV,3.3,173631
3308,BMW,South Korea,Busan,Busan,245,98.9,NiMH,173.6,363,182,Tesla Supercharger,7,AWD,PHEV,2,146717
3309,Tata,Canada,Ontario,Toronto,289,78,NiMH,148.1,399,291,CHAdeMO,6,AWD,HEV,3.7,181660
3310,Kia,Japan,Osaka,Osaka,223,95,NiMH,132.1,222,296,Tesla Supercharger,6,RWD,BEV,2.1,176373
3311,Nissan,China,Shanghai,Shanghai,123,134.7,NiMH,166.8,216,193,Type 2,2,AWD,BEV,2.7,99113
3312,Ford,South Korea,Seoul,Seoul,156,146,Li-ion,202.4,495,280,CHAdeMO,6,AWD,BEV,3.9,159815
3313,Kia,Japan,Kanagawa,Yokohama,279,77.3,NiMH,159.5,361,305,Type 2,4,AWD,PHEV,4.2,184314
3314,Hyundai,Canada,Ontario,Toronto,199,35.1,Solid-State,145.6,727,93,Tesla Supercharger,7,AWD,BEV,4,73336
3315,Tesla,Australia,Queensland,Brisbane,273,120.8,NiMH,135.6,219,156,CHAdeMO,6,AWD,BEV,5,171935
3316,Hyundai,UK,England,Manchester,167,112.3,NiMH,153.3,599,300,CHAdeMO,4,AWD,BEV,4.7,83357
3317,Tata,France,Auvergne-Rhône-Alpes,Lyon,157,84.4,Li-ion,165.3,792,146,CHAdeMO,7,RWD,BEV,2.3,157176
3318,BMW,Japan,Osaka,Osaka,228,30.7,Solid-State,145.6,503,216,CCS,4,FWD,PHEV,4.4,70609
3319,Nissan,France,Auvergne-Rhône-Alpes,Lyon,158,139,Solid-State,165.6,512,295,CCS,2,AWD,BEV,4,129437
3320,Lucid,China,Beijing,Beijing,150,129.1,Li-ion,178.4,609,218,Tesla Supercharger,2,RWD,HEV,4.1,182423
3321,BMW,Canada,British Columbia,Vancouver,216,107.9,NiMH,208.3,569,231,CCS,7,RWD,PHEV,3.2,167077
3322,Tata,China,Beijing,Beijing,216,76.7,Solid-State,181.5,787,227,CCS,5,FWD,HEV,2.8,186309
3323,Ford,UK,England,London,275,47.6,Solid-State,144,402,111,Type 2,6,RWD,BEV,2.5,82945
3324,Ford,China,Guangdong,Shenzhen,153,194.4,Li-ion,202.9,691,148,CCS,7,FWD,PHEV,2.6,129467
3325,Tesla,France,Île-de-France,Paris,289,60,Solid-State,178.6,772,217,CCS,7,AWD,BEV,3.4,73197
3326,Tata,UK,England,Manchester,202,44.9,Li-ion,158.6,636,153,Tesla Supercharger,4,FWD,HEV,4,152940
3327,Tata,Germany,Bavaria,Munich,170,159.1,Solid-State,170.2,287,233,Tesla Supercharger,4,FWD,PHEV,2.9,133539
3328,Lucid,Japan,Kanagawa,Yokohama,156,147.2,Li-ion,132.9,752,118,Tesla Supercharger,5,AWD,HEV,4.8,115425
3329,Kia,South Korea,Seoul,Seoul,226,127.4,NiMH,218.2,777,313,CCS,6,AWD,PHEV,3.8,95621
3330,Nissan,Germany,Bavaria,Munich,183,154,Solid-State,139,422,314,Type 2,2,FWD,HEV,2.9,120597
3331,BMW,Germany,Bavaria,Munich,229,170.4,Solid-State,154.5,431,281,CCS,6,AWD,PHEV,2.2,135294
3332,Tesla,UK,England,Manchester,226,132.9,Solid-State,216.7,279,139,CCS,6,AWD,BEV,4,120838
3333,Hyundai,Australia,Victoria,Melbourne,272,102.5,Li-ion,206.9,479,95,Type 2,4,AWD,HEV,4.3,83856
3334,Kia,Japan,Osaka,Osaka,281,106.9,NiMH,192.1,771,247,Tesla Supercharger,6,RWD,HEV,4.5,153648
3335,Tata,France,Auvergne-Rhône-Alpes,Lyon,150,107,Solid-State,159.4,201,183,Type 2,2,RWD,HEV,2.7,180844
3336,Tata,UK,England,London,274,178.4,Li-ion,206.1,688,222,Tesla Supercharger,5,RWD,HEV,2.2,108570
3337,Hyundai,Germany,Bavaria,Munich,211,188.7,Li-ion,185.5,601,150,Type 2,2,FWD,HEV,3,136465
3338,Tata,Canada,Ontario,Toronto,149,189.9,Li-ion,185.6,637,298,CHAdeMO,5,FWD,HEV,4,117810
3339,BMW,Australia,Queensland,Brisbane,275,108.8,Solid-State,166.8,724,235,Type 2,7,FWD,HEV,3.9,199531
3340,Volkswagen,UK,England,London,297,99.2,Solid-State,166.5,714,304,CCS,2,RWD,PHEV,4.6,196511
3341,Nissan,France,Provence-Alpes-Côte d'Azur,Marseille,208,196.1,NiMH,154.2,578,74,Type 2,7,AWD,HEV,4.3,86838
3342,Kia,Australia,Victoria,Melbourne,225,70,Li-ion,184.6,672,127,Tesla Supercharger,5,AWD,PHEV,3.7,161856
3343,Tata,Australia,Victoria,Melbourne,141,83.1,NiMH,193.4,469,131,CCS,5,RWD,HEV,3.2,180445
3344,Ford,Japan,Tokyo,Tokyo,156,123.5,Solid-State,174.5,233,208,CCS,5,FWD,BEV,2.6,102962
3345,BYD,South Korea,Busan,Busan,179,38.5,Solid-State,201,652,342,Type 2,5,FWD,BEV,3.2,155929
3346,Lucid,France,Île-de-France,Paris,192,33.9,Li-ion,204.4,433,193,Type 2,2,RWD,BEV,4.1,78197
3347,Kia,South Korea,Seoul,Seoul,159,125.8,Li-ion,134.7,346,212,CCS,4,AWD,BEV,3.8,116648
3348,BMW,USA,NY,New York,197,105,NiMH,204.6,656,140,CCS,5,RWD,BEV,3.4,94613
3349,Ford,Australia,New South Wales,Sydney,276,193.2,Solid-State,161,499,210,Type 2,7,RWD,PHEV,2.7,97621
3350,BYD,India,Karnataka,Bangalore,207,41.3,Li-ion,148.6,497,337,CHAdeMO,2,AWD,BEV,2.6,85402
3351,BYD,Japan,Tokyo,Tokyo,289,161.1,Solid-State,189.5,469,347,CCS,4,RWD,PHEV,4.8,85565
3352,Volkswagen,South Korea,Incheon,Incheon,280,196.7,Li-ion,155.6,439,71,Type 2,2,AWD,HEV,4.6,90919
3353,Tesla,Germany,Bavaria,Munich,231,143.1,NiMH,144.8,425,84,Type 2,6,AWD,HEV,2.3,175589
3354,Hyundai,USA,NY,New York,180,186.1,NiMH,151.7,608,345,Type 2,2,AWD,PHEV,3.8,111479
3355,BYD,India,Karnataka,Bangalore,199,76,Li-ion,211.3,393,228,Tesla Supercharger,6,AWD,PHEV,2.7,198417
3356,BYD,Australia,Queensland,Brisbane,161,82,Li-ion,189.7,437,307,Tesla Supercharger,7,FWD,BEV,3.4,115220
3357,Ford,Australia,New South Wales,Sydney,202,31.7,Li-ion,184.1,224,147,Tesla Supercharger,6,FWD,HEV,2.7,114563
3358,Tesla,India,Delhi,Delhi,218,174.5,Solid-State,150.4,418,316,CHAdeMO,6,RWD,PHEV,3.6,76876
3359,Ford,China,Guangdong,Shenzhen,267,96.2,NiMH,185.4,375,170,Tesla Supercharger,7,RWD,BEV,2.2,159141
3360,Nissan,Germany,Hesse,Frankfurt,293,82.7,Solid-State,179.6,517,301,CHAdeMO,2,RWD,PHEV,2.3,165396
3361,Tesla,Canada,British Columbia,Vancouver,168,145.3,Li-ion,139.2,662,283,Tesla Supercharger,7,AWD,PHEV,4.3,168069
3362,Tata,Australia,Queensland,Brisbane,266,42.7,Li-ion,145.8,480,104,CCS,4,AWD,HEV,4.3,77181
3363,Volkswagen,China,Guangdong,Shenzhen,164,131.2,Solid-State,159.4,565,108,CHAdeMO,6,FWD,HEV,2.2,169959
3364,Tata,Australia,Victoria,Melbourne,173,149.3,Li-ion,144.3,305,289,Type 2,6,RWD,HEV,2.5,188764
3365,Ford,China,Shanghai,Shanghai,226,57.3,Li-ion,149.3,573,345,Tesla Supercharger,7,FWD,PHEV,4.8,122135
3366,Lucid,China,Beijing,Beijing,163,131.6,NiMH,159.4,233,348,Tesla Supercharger,5,FWD,PHEV,4.8,169746
3367,Tata,South Korea,Busan,Busan,235,159.3,NiMH,218.1,379,228,Type 2,5,AWD,PHEV,4.7,135235
3368,Lucid,Japan,Osaka,Osaka,211,182.8,Solid-State,190.9,697,52,Tesla Supercharger,2,AWD,BEV,3.2,148522
3369,Ford,Australia,Victoria,Melbourne,206,41.3,Solid-State,182.7,205,210,CHAdeMO,5,RWD,BEV,2.9,91717
3370,BYD,Japan,Osaka,Osaka,276,114.9,Solid-State,134.2,758,74,Tesla Supercharger,6,RWD,BEV,3.5,172525
3371,Nissan,China,Guangdong,Shenzhen,128,151.7,Li-ion,167.6,675,219,CCS,4,FWD,BEV,3,84405
3372,Kia,China,Beijing,Beijing,123,59.7,NiMH,194.9,471,245,CHAdeMO,6,RWD,HEV,2.3,184199
3373,Volkswagen,UK,England,Birmingham,187,130.3,Solid-State,186.7,522,99,CHAdeMO,7,RWD,HEV,3.8,165699
3374,Tata,Canada,British Columbia,Vancouver,281,198.3,Li-ion,159.8,500,342,CCS,6,AWD,PHEV,4.8,154558
3375,Nissan,Australia,Queensland,Brisbane,156,52.7,NiMH,172.6,529,90,CHAdeMO,2,AWD,HEV,2.3,157473
3376,Volkswagen,UK,England,Birmingham,183,160.2,Li-ion,137.2,633,172,CHAdeMO,6,FWD,HEV,4.2,191807
3377,Tesla,USA,IL,Chicago,192,144.3,Solid-State,184.5,598,102,Type 2,5,FWD,HEV,3.5,171782
3378,Ford,Canada,Ontario,Toronto,292,198.7,Solid-State,184,479,136,CCS,2,AWD,BEV,4,188599
3379,Kia,UK,England,London,167,122.7,Solid-State,158.8,783,68,Type 2,7,RWD,PHEV,2.1,118924
3380,Nissan,UK,England,London,150,133.1,NiMH,148.5,578,279,Type 2,2,RWD,HEV,4.7,199361
3381,BYD,Japan,Tokyo,Tokyo,270,76.9,Li-ion,198.4,302,137,Tesla Supercharger,7,FWD,PHEV,4.9,172868
3382,Nissan,France,Provence-Alpes-Côte d'Azur,Marseille,257,194.8,Solid-State,171.7,263,259,CHAdeMO,4,RWD,PHEV,3.2,158187
3383,Tesla,UK,England,Birmingham,231,180.7,NiMH,188.1,709,267,CCS,2,FWD,PHEV,4.4,156248
3384,Lucid,China,Beijing,Beijing,186,92.1,NiMH,193.8,592,348,CCS,5,RWD,HEV,2.8,95516
3385,BYD,Canada,British Columbia,Vancouver,171,64.8,Solid-State,181,724,187,CCS,4,AWD,HEV,3.6,184125
3386,Kia,USA,NY,New York,252,45.1,NiMH,192,289,111,CHAdeMO,4,RWD,HEV,4.8,97323
3387,Ford,India,Delhi,Delhi,180,58.3,Li-ion,186.7,652,56,Type 2,2,FWD,PHEV,4.3,124559
3388,Kia,India,Maharashtra,Mumbai,244,159.1,NiMH,188.1,724,85,CHAdeMO,4,FWD,BEV,2.5,77101
3389,Kia,UK,England,Manchester,195,142,NiMH,151.5,525,107,Type 2,7,AWD,PHEV,3.8,132365
3390,Ford,Germany,Berlin,Berlin,156,143.7,Solid-State,219.2,217,57,CHAdeMO,7,RWD,PHEV,4.3,135347
3391,Kia,USA,NY,New York,287,171,Li-ion,206.7,297,172,Type 2,6,AWD,PHEV,2.1,199363
3392,Volkswagen,USA,IL,Chicago,266,59,NiMH,202.6,293,304,CHAdeMO,4,FWD,BEV,2.7,135645
3393,Tesla,China,Beijing,Beijing,140,136.8,Solid-State,207.1,698,264,Tesla Supercharger,5,RWD,BEV,3.2,129203
3394,BYD,USA,NY,New York,162,37.4,Li-ion,215.1,335,187,CCS,6,AWD,PHEV,4.2,153379
3395,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,219,55.9,NiMH,141.5,451,220,CCS,2,FWD,PHEV,4.8,119411
3396,Lucid,Canada,Quebec,Montreal,203,34.6,Li-ion,203.8,284,319,Tesla Supercharger,7,AWD,PHEV,2.8,189465
3397,Lucid,Australia,Victoria,Melbourne,232,53.9,Solid-State,172,350,78,Tesla Supercharger,6,RWD,HEV,2.3,179659
3398,Tata,France,Auvergne-Rhône-Alpes,Lyon,265,73.7,Li-ion,214.7,593,216,CCS,5,RWD,PHEV,4.1,117592
3399,Kia,South Korea,Busan,Busan,137,165.7,NiMH,158.6,524,118,Type 2,5,RWD,HEV,3.8,187318
3400,Tata,USA,IL,Chicago,141,110.9,NiMH,156.4,278,171,CCS,4,RWD,PHEV,3,139066
3401,Volkswagen,India,Maharashtra,Mumbai,244,112.2,Li-ion,197.4,651,112,Tesla Supercharger,5,FWD,BEV,2.5,111594
3402,Kia,USA,CA,Los Angeles,293,65.8,Li-ion,146.7,686,120,CHAdeMO,4,RWD,PHEV,2.9,79022
3403,Nissan,Australia,Victoria,Melbourne,175,169.9,Li-ion,214.9,253,269,CHAdeMO,4,FWD,HEV,4,142814
3404,Tata,South Korea,Busan,Busan,177,192.5,Li-ion,138.7,200,321,Tesla Supercharger,7,FWD,PHEV,4,141574
3405,Tata,China,Shanghai,Shanghai,160,191.1,NiMH,184.3,578,101,CCS,7,AWD,HEV,4.1,145815
3406,BMW,Canada,Quebec,Montreal,255,50.8,Li-ion,201.9,476,142,CCS,6,AWD,PHEV,2.4,154217
3407,Ford,USA,Seattle,Washington,168,64.1,NiMH,197.1,526,223,CHAdeMO,5,FWD,HEV,4,163360
3408,Volkswagen,Germany,Hesse,Frankfurt,152,136.3,Solid-State,134.5,778,160,CHAdeMO,5,FWD,HEV,4.9,179623
3409,Lucid,USA,NY,New York,285,43.8,NiMH,216.9,670,165,CCS,6,FWD,PHEV,3.9,70498
3410,Volkswagen,Canada,Quebec,Montreal,163,82,Solid-State,175.2,786,64,Type 2,2,FWD,PHEV,3.5,176322
3411,BYD,Canada,Quebec,Montreal,273,197.4,Li-ion,143.2,314,341,CHAdeMO,6,FWD,HEV,3.9,93131
3412,BYD,USA,Seattle,Washington,266,129.1,Li-ion,162,753,157,CCS,2,AWD,HEV,3.7,83990
3413,Nissan,Japan,Osaka,Osaka,134,188.3,NiMH,134.3,581,191,Tesla Supercharger,2,FWD,PHEV,2.2,157211
3414,BMW,China,Beijing,Beijing,219,53.4,Solid-State,163.1,225,67,CCS,4,RWD,PHEV,3.4,110927
3415,Tata,India,Tamil Nadu,Chennai,260,75.9,Solid-State,217.4,293,329,Tesla Supercharger,5,AWD,BEV,4.6,191357
3416,Hyundai,China,Beijing,Beijing,271,166.8,NiMH,144.3,616,149,Type 2,4,RWD,BEV,3.8,138327
3417,BMW,USA,CA,Los Angeles,133,56.2,Li-ion,150.9,225,235,CCS,6,RWD,HEV,4.8,158668
3418,Hyundai,France,Île-de-France,Paris,267,57.2,Solid-State,206.4,602,222,Tesla Supercharger,6,RWD,PHEV,3.8,108914
3419,Lucid,France,Auvergne-Rhône-Alpes,Lyon,133,65.1,Solid-State,150.3,488,131,CHAdeMO,6,FWD,PHEV,3.4,120328
3420,BYD,China,Beijing,Beijing,298,111.9,Li-ion,174.4,650,56,Tesla Supercharger,5,RWD,PHEV,4.2,92373
3421,Lucid,USA,IL,Chicago,229,74.3,Li-ion,163,660,322,CCS,6,RWD,BEV,3.9,193558
3422,Tata,Japan,Tokyo,Tokyo,194,174.6,NiMH,186,427,85,CCS,6,FWD,PHEV,4.5,100743
3423,Nissan,Australia,Queensland,Brisbane,167,187.6,Li-ion,199.5,525,193,CHAdeMO,5,FWD,BEV,4,104224
3424,Lucid,India,Tamil Nadu,Chennai,135,149.6,Solid-State,205.4,227,321,CHAdeMO,5,AWD,HEV,3.9,194464
3425,Ford,India,Tamil Nadu,Chennai,202,74.7,NiMH,170.3,659,344,Type 2,5,FWD,BEV,3.9,154931
3426,Tata,USA,IL,Chicago,218,120.1,Solid-State,159.4,727,180,Type 2,7,RWD,HEV,4.6,184557
3427,Hyundai,Japan,Osaka,Osaka,201,69.5,NiMH,139.6,742,52,Type 2,6,AWD,PHEV,2.3,180902
3428,Hyundai,Australia,New South Wales,Sydney,192,100.2,Li-ion,188.1,776,129,Type 2,5,FWD,BEV,2.1,71106
3429,Lucid,China,Guangdong,Shenzhen,214,177.6,NiMH,164.7,525,87,Type 2,5,RWD,BEV,4.4,75447
3430,Tata,Australia,Queensland,Brisbane,216,43,NiMH,186.8,266,197,Tesla Supercharger,6,RWD,PHEV,2.5,143975
3431,Tesla,UK,England,London,174,102.7,Solid-State,177.8,214,248,CHAdeMO,4,AWD,PHEV,2.1,195866
3432,BMW,Germany,Bavaria,Munich,168,180.4,Li-ion,215.5,696,64,Type 2,2,AWD,PHEV,3.8,142337
3433,Tata,South Korea,Busan,Busan,241,66.7,NiMH,139.5,626,342,CHAdeMO,6,RWD,PHEV,2.9,191435
3434,Tesla,USA,NY,New York,124,194.8,NiMH,184.8,653,290,Tesla Supercharger,2,FWD,BEV,2.2,98234
3435,BYD,China,Shanghai,Shanghai,217,156.4,Li-ion,179,586,98,CCS,7,RWD,BEV,2,78173
3436,Tesla,USA,NY,New York,158,157.6,Li-ion,195.2,373,252,CHAdeMO,7,FWD,HEV,2.1,190940
